,SPY,QQQ,TLT,GLD,USO
2015-01-20,0.1402052915586616,0.1503835413792668,0.16223846279792076,0.18546804149121435,0.5510103904380231
2015-01-21,0.14061534646415447,0.15074910017271093,0.16776627784671116,0.1840767881775962,0.5012885033548852
2015-01-22,0.15024558338409408,0.1656630921365915,0.16935091412689576,0.16233923988504467,0.4834523226326549
2015-01-23,0.15121189724195325,0.16538885616092228,0.1508311829004489,0.16877770143138385,0.46285227739082374
2015-01-26,0.151564619984752,0.1654161278950706,0.15312405304307966,0.17627693578628145,0.4607162492175439
2015-01-27,0.1572808950818255,0.1867210600564257,0.15338311652140646,0.1707489525447368,0.47330868952256194
2015-01-28,0.16204435730226274,0.1870219057202074,0.15919060268623403,0.16846873809222573,0.4819088358701234
2015-01-29,0.16631740283788002,0.19044127967434876,0.16386243949675228,0.18763140591564936,0.4846429022313413
2015-01-30,0.16839050669734262,0.18904845231021034,0.17072898837807193,0.18960470730606274,0.5566819756268182
2015-02-02,0.17541822674169472,0.19193555986605007,0.17154174866954502,0.19478941763371754,0.5808756714847314
2015-02-03,0.17091266700595145,0.18728660753153806,0.18737504980403896,0.1965798579166762,0.5787169528396826
2015-02-04,0.1675809945128873,0.17979613565583222,0.17776432079512497,0.19382644448777314,0.6146510465208033
2015-02-05,0.16565337072768382,0.1768203099648473,0.18279663588265804,0.1916172007175011,0.6283006054781148
2015-02-06,0.15369701236509165,0.16521750719998107,0.18798118358473298,0.215354477607152,0.6321183191893759
2015-02-09,0.1517637125217668,0.16386894495404705,0.18411584928762068,0.21241160325560954,0.6299142868285352
2015-02-10,0.1530693823771901,0.16757223784960412,0.18491874314583168,0.21013629358381686,0.6240272950699538
2015-02-11,0.15240303469495137,0.16761458421667588,0.18512044375039344,0.2140592148344463,0.6309401086683254
2015-02-12,0.15263163476050903,0.16896702029116428,0.1827952136617858,0.21421152238227714,0.6304540341011918
2015-02-13,0.1469093441271652,0.15987559116888675,0.17414467661142027,0.19370564448141897,0.6074190896161257
2015-02-17,0.14165239762896484,0.15712867291968127,0.17614438939216218,0.19351273614528325,0.5851066465325078
2015-02-18,0.1418306023886969,0.1561320790086621,0.16919697694982616,0.18497822798956165,0.5663534490322961
2015-02-19,0.1416616441270921,0.15609822182506441,0.16672382983242864,0.184531135217335,0.5667622188339028
2015-02-20,0.13402460616190073,0.14550085767823173,0.1678282759914212,0.1796212439572664,0.5687710069085959
2015-02-23,0.1317794217936202,0.1455511829233233,0.16487595884229223,0.17996080197146538,0.5725610473401481
2015-02-24,0.1318318944367073,0.14515515728767622,0.1738200879820018,0.17849095928068998,0.5717163007255849
2015-02-25,0.12029327318103415,0.10267605830917877,0.17476139375668742,0.17211986360616596,0.5788550057639216
2015-02-26,0.10745214975287325,0.0978290268549439,0.16643070676245192,0.1729250446641311,0.5746641257437575
2015-02-27,0.10670420829811891,0.09946719560593667,0.17058199983262426,0.15875009113814326,0.5746047197926755
2015-03-02,0.09228224945679397,0.09275495426405553,0.1627816687609672,0.1306096303089768,0.5245103532718617
2015-03-03,0.08869894278102106,0.09577328407410103,0.1627858754590529,0.12925695313051017,0.5004813005060035
2015-03-04,0.07880657988044808,0.0959199331495675,0.1501852375934525,0.1254994775534511,0.4715586108521921
2015-03-05,0.07646971375929426,0.09510140944362432,0.14932525444022285,0.12303595075785623,0.40445339244640666
2015-03-06,0.08791914639618283,0.10461234453514787,0.16177637901965386,0.1493658166480014,0.3864016428925801
2015-03-09,0.08809455265367244,0.10047900981779462,0.1590211237083517,0.12634960095322173,0.37639374876721315
2015-03-10,0.10540324399227988,0.12358005623371723,0.16827300116660554,0.12349096270136463,0.3772393955281738
2015-03-11,0.09798912140703395,0.11405414572439154,0.16931696753325992,0.12353005315620755,0.3509868913791346
2015-03-12,0.10871333869142086,0.11563008933556654,0.1690240182248335,0.11975527999564389,0.3481977760121128
2015-03-13,0.10465615955009064,0.10894748081985421,0.16898178399516497,0.11931050997614563,0.3359983852425549
2015-03-16,0.11496238489750758,0.11455868960014634,0.1691723693821248,0.11562493409251091,0.3245968658531429
2015-03-17,0.11513232036363011,0.11465924821497475,0.16164450493852386,0.10442580422961333,0.3218021202008136
2015-03-18,0.12342025910147907,0.11984585320246319,0.17335309234785906,0.12974943316041615,0.38061727864092054
2015-03-19,0.12451080294264394,0.11872129356756156,0.17244690761503498,0.12962658350710785,0.3992493245230194
2015-03-20,0.12672773948443475,0.11856976905721313,0.17282125730585662,0.1364295558276167,0.4085362124501483
2015-03-23,0.12692725754227385,0.11876201971375631,0.16952523986503354,0.13857100602103722,0.41003590434283116
2015-03-24,0.12793407717605754,0.11942500250942699,0.16678872078243012,0.1388898738741623,0.41028751814088493
2015-03-25,0.1375207929928175,0.14408344219497718,0.1698260741501564,0.13821060230419344,0.41044969282106986
2015-03-26,0.13759064049949826,0.14232865738986566,0.17209439158256423,0.1398570305585544,0.4338621454922887
2015-03-27,0.13786855789851404,0.14326209682278035,0.1751055610441192,0.14031773283612906,0.4823264966666859
2015-03-30,0.14343701306204892,0.14579742782136096,0.1612258316880392,0.14512966341402095,0.48020364031037394
2015-03-31,0.14585048879451157,0.1492106806728697,0.1601251558770853,0.1450802474323877,0.48306203929078495
2015-04-01,0.14566286409575663,0.1495861912738575,0.16502948801226555,0.1578435239956529,0.5000760001070375
2015-04-02,0.14636989216642174,0.1493289140128339,0.17096069831043909,0.15815940528422945,0.49797691759461654
2015-04-06,0.13964849420913106,0.1483395701882603,0.14886331582893567,0.12608270551627987,0.5232768568782112
2015-04-07,0.13927401358902325,0.14783788834063494,0.14840153931981198,0.1285576082749911,0.5362248664858309
2015-04-08,0.12571314509312398,0.13481910817846807,0.14328105945210184,0.12899293240225312,0.563015025987108
2015-04-09,0.12563653072594141,0.13407297471641866,0.15123750695781152,0.12976823400616624,0.5621963063368668
2015-04-10,0.11939127644468363,0.1330429595558346,0.15110561942197276,0.13382238144309114,0.5612026851642784
2015-04-13,0.11825537727793603,0.13220756246135315,0.15029077964710136,0.1380140201551079,0.5409354060102963
2015-04-14,0.10905479295095019,0.12528569921937083,0.14869739268986934,0.14068034222383696,0.5286571063789574
2015-04-15,0.10915254613477092,0.12697153166643307,0.14645920131266446,0.1401706427846061,0.5328371571633648
2015-04-16,0.10085122008936595,0.1223167751045125,0.13015049291662897,0.12569598985988545,0.5126268415565477
2015-04-17,0.10797550367550236,0.13410138432434784,0.13547351978484054,0.1261614357697482,0.4814030654552294
2015-04-20,0.10832158223006799,0.1433448419397439,0.13793792637935684,0.12437991431723738,0.48054148376702316
2015-04-21,0.1081845246386505,0.14415056286980957,0.13872041840990615,0.12403363326076206,0.49163467599486543
2015-04-22,0.1074816398174118,0.14480275998628933,0.14267840143030522,0.13320357729120955,0.49300698240189267
2015-04-23,0.09157531758658102,0.11608558718254387,0.14190504875791912,0.13581193851388318,0.4857937399059568
2015-04-24,0.09057585936780368,0.12167280432555112,0.1332319213276442,0.142177960192539,0.46090057381178157
2015-04-27,0.09274004443965814,0.1228483465277678,0.12487428776316978,0.16032844400166085,0.39985997185253597
2015-04-28,0.08366466336804577,0.11864178469890616,0.1326283464616543,0.1569340846519348,0.39994097756189484
2015-04-29,0.07811609242590405,0.1136668763235541,0.1377460160131344,0.15952108967315792,0.38995815271576195
2015-04-30,0.08609894793382106,0.1275249057972595,0.12688319360747966,0.16033733170923656,0.3702004775315097
2015-05-01,0.09292325487183382,0.13434182022248922,0.12972612231923958,0.1604592759576617,0.37188315767348534
2015-05-04,0.09076620061540146,0.13225719807373057,0.13164480560648462,0.15734486139845333,0.3400100572009091
2015-05-05,0.10015906708277879,0.14639871190368178,0.12514460621067494,0.15721222376712918,0.3299449828418269
2015-05-06,0.10074369634339768,0.14628795892788107,0.133691631392833,0.15617511139125315,0.25430689323327094
2015-05-07,0.10050431630306891,0.1461307603235478,0.14289303641945328,0.1569523999058732,0.28486891116790053
2015-05-08,0.10937708685338961,0.15211226870431802,0.1434404650350927,0.15207589867640908,0.2798996829516904
2015-05-11,0.10952934278989393,0.15254165016240004,0.16165855371964033,0.15069966790174066,0.28109927140456764
2015-05-12,0.11000410070160613,0.1531219296509202,0.15833767110388,0.15265317134204887,0.2813152490205332
2015-05-13,0.10880281935986073,0.15168423995522515,0.15837417214153546,0.1627512016115216,0.23499710392010015
2015-05-14,0.11499720406550294,0.16000355596900362,0.16042263050781846,0.16290688471796996,0.2332850550642885
2015-05-15,0.10595293019869464,0.14775559944875574,0.17384752540305404,0.16241834511369346,0.23214291266328377
2015-05-18,0.1019652913735012,0.1396647969007701,0.17914901346629436,0.15936861368649974,0.23299096422899865
2015-05-19,0.10178891491642537,0.13937977384614197,0.17993724365690028,0.16705810243594407,0.26287012281412964
2015-05-20,0.10074849880252347,0.13833416328194156,0.17631883121437755,0.15903020049450542,0.26445862609746745
2015-05-21,0.100860799525299,0.13884384047519227,0.18513004147043718,0.1579557802353775,0.2799903939583671
2015-05-22,0.10116169862580326,0.13034234744471412,0.1824047982132043,0.14850078781104714,0.28364806162079387
2015-05-26,0.10755182618699459,0.1363958019411996,0.19611326700300602,0.14056266585041768,0.3006914721056367
2015-05-27,0.11225493724253924,0.14830326472155295,0.19204386718992542,0.13628153368971715,0.302974501714517
2015-05-28,0.11118548932149624,0.1465612378228849,0.18796968108191994,0.13456959768691287,0.2868253767453789
2015-05-29,0.10716969168647948,0.13577995192552844,0.1880699673340572,0.11855171033149227,0.3117338155153341
2015-06-01,0.10042051991580728,0.12850106672539988,0.1859451144591417,0.11782640660743071,0.3112874822215298
2015-06-02,0.10001243462096313,0.12914342512867125,0.1893238768393888,0.1142823203171504,0.3152133707712915
2015-06-03,0.09062960327345893,0.11320806882177115,0.1965339167994885,0.11670093198108987,0.31613275786176476
2015-06-04,0.09490504751837078,0.11393387893464804,0.19480434567823732,0.11912157876571493,0.3268740081523713
2015-06-05,0.09429429780415018,0.11327102172447061,0.19178144821567633,0.11710118661900593,0.31441343093399193
2015-06-08,0.083458396857383,0.11111622373703059,0.19108935407171687,0.11613729006838391,0.3129061694979078
2015-06-09,0.08209403772686039,0.11042800984410826,0.17365746989419048,0.11587337376832396,0.32718049385461034
2015-06-10,0.09262400575816013,0.11933001846155303,0.17511944534303397,0.1158381653333038,0.3300376463207037
2015-06-11,0.0932235691274224,0.11926870818064912,0.1908155132307525,0.09453094307200365,0.3303068780327155
2015-06-12,0.08944225044885154,0.11139757376141798,0.19051034751179044,0.09118956252560208,0.3322422716836843
2015-06-15,0.09020384994256263,0.11257480440334733,0.1749270138311834,0.09229742413993292,0.332814074599845
2015-06-16,0.09191000279479197,0.11326636501608925,0.1676826175196977,0.09236378647326993,0.3332787964333537
2015-06-17,0.09226100701795346,0.11384558132802099,0.16693399478319573,0.08323482613882495,0.29940091263007407
2015-06-18,0.10011498066485018,0.12560440387740168,0.16769859669411294,0.09633661610356141,0.29830811375020416
2015-06-19,0.10067350871319553,0.12556817743604806,0.1664505035542763,0.0958257502944548,0.27980391498414603
2015-06-22,0.10219764255938192,0.12831939957430227,0.1809259275651068,0.10581301166472198,0.27793872048506324
2015-06-23,0.09396630773855441,0.12058025685730844,0.16765896266024088,0.09525804638290057,0.2628752713329158
2015-06-24,0.09167493785374546,0.10785928733377383,0.1715566226449645,0.0955761099108145,0.26427963809366123
2015-06-25,0.092164607679985,0.10779813673655995,0.17161386227644057,0.09539638468270008,0.2683076414726509
2015-06-26,0.08953074917385663,0.10830314008803549,0.1735547026312326,0.09547541103258582,0.22963556966596313
2015-06-29,0.11579366549147686,0.13540606049611995,0.19975078874531763,0.09722767597626257,0.24299738746505103
2015-06-30,0.11638575086782517,0.13645380801897228,0.1952716110776482,0.09782644214921847,0.24639082338920348
2015-07-01,0.12014728063094969,0.1395760588215159,0.192790247432633,0.09554306145228808,0.26870233688737893
2015-07-02,0.11670128914460316,0.13740159138178154,0.18664541572989107,0.092746876275777,0.25635416681518947
2015-07-06,0.11693853237145317,0.137391839490447,0.19419938771659626,0.09153522506434712,0.33122165968671746
2015-07-07,0.11725152078338362,0.13297665970073788,0.19667076051462046,0.09941793862049095,0.3318227699929862
2015-07-08,0.13178468318941408,0.14670488811458293,0.19555945047681975,0.09975864316239032,0.3162447952510205
2015-07-09,0.12350049543520579,0.13645856294163625,0.20690560212215148,0.09446587775233316,0.31359230722513387
2015-07-10,0.1321098025351526,0.1486442257796536,0.20141399497526255,0.09382948220643031,0.31413164693696455
2015-07-13,0.1356977837323624,0.15928423520976034,0.2015870804375353,0.09471919729585707,0.3139361382813844
2015-07-14,0.13535216760491017,0.15927523374888386,0.2019376989378974,0.09261357662278283,0.32118609437750323
2015-07-15,0.1341837075466142,0.15844554036137742,0.20369526864940948,0.09332743184221252,0.3266939319354679
2015-07-16,0.13687868231127676,0.1652301640180451,0.20348968604838408,0.09078096446514466,0.3261740328961252
2015-07-17,0.13199774385175284,0.16540569109837536,0.20329570483682935,0.07699476736536251,0.32147510796784495
2015-07-20,0.13085223259257375,0.16376827296822707,0.19871830559027398,0.11506331232441269,0.32180483473747795
2015-07-21,0.1305206710255235,0.16266602210883796,0.18448484834900475,0.11048602328906243,0.32656176175349505
2015-07-22,0.1306426422307521,0.16891224986962372,0.1833330848428723,0.11015876481139113,0.3253477807214821
2015-07-23,0.12958352514022195,0.16831717985661857,0.1857365041855562,0.11012300749898359,0.32531989521104
2015-07-24,0.1343571155100883,0.1723593376948619,0.1846312375870691,0.1200129125498235,0.32564828782833805
2015-07-27,0.135712613958328,0.17336491362043224,0.17786344495065412,0.11901351811700209,0.32614139935259406
2015-07-28,0.12026522790175918,0.15018338092100006,0.15817593452371065,0.11677773909762351,0.33438558397930784
2015-07-29,0.12204434820561934,0.1502138018432255,0.15634076330811028,0.11771572957716829,0.3414186035366324
2015-07-30,0.11938540911255012,0.14898996912693258,0.14717894182045485,0.11920106335088712,0.3232676495264236
2015-07-31,0.11952064941746858,0.14928921185047211,0.14816231145474798,0.12418090947827765,0.3337625381146897
2015-08-03,0.11974754328483117,0.1496174626956733,0.1393351156163205,0.12330578866929857,0.28023612534178277
2015-08-04,0.11826961941954657,0.15016109114971976,0.14133128876880202,0.12111273518062818,0.2839154837236355
2015-08-05,0.09971836432058485,0.13352937460828485,0.14215806534806413,0.11906388202718704,0.27987782491383306
2015-08-06,0.10527471996262952,0.1491674739843784,0.12257997461500399,0.12053900655566135,0.2624854104931551
2015-08-07,0.09601427145612829,0.1411034386152099,0.10849842238775856,0.12126410430555337,0.2648397644008746
2015-08-10,0.09849642714343287,0.13316205805391884,0.12043775857869976,0.13001388938152603,0.28842998499063166
2015-08-11,0.10240758976454896,0.13992190161602963,0.1286776406895895,0.13271950342204125,0.2858274538081195
2015-08-12,0.10257666338674934,0.14041966308384185,0.12995938175561386,0.14369822137806612,0.27866276658575045
2015-08-13,0.09765956045510213,0.130310529370718,0.1308419636347387,0.14571912913272625,0.2840916339862274
2015-08-14,0.09879950434731861,0.11736507448363405,0.13044675971741554,0.1419719736054736,0.2834029575449689
2015-08-17,0.10124085178883543,0.12122850909048197,0.12832736060845046,0.10252258493200363,0.28184924855377147
2015-08-18,0.10082590923479443,0.12203806825663847,0.13322551907531294,0.10159960996778715,0.2801715766053021
2015-08-19,0.10422298284303175,0.11798090971252287,0.1353462856751714,0.10805763293560647,0.2944039071781742
2015-08-20,0.12563975085055518,0.15110578463614285,0.1332308064246916,0.11865023918635038,0.2947698109770038
2015-08-21,0.15921712805402477,0.2099348681057633,0.13326254261884474,0.11657117718268703,0.29466232891119126
2015-08-24,0.2125555675920952,0.24290430287346032,0.13298340580626675,0.11722511089594798,0.33489203806430995
2015-08-25,0.2047142015153038,0.23727188606844346,0.1441873840404288,0.12885285868355917,0.3416636019992543
2015-08-26,0.25445455939513056,0.3096173356282985,0.16119847225508876,0.140295439435852,0.32007853098107075
2015-08-27,0.2738524958918915,0.32536136128096393,0.1590407186181905,0.13552640358045454,0.48931953586110527
2015-08-28,0.27399667794632415,0.3254426633203061,0.1571834759926966,0.13707001363079713,0.544183300075393
2015-08-31,0.27468277476117847,0.32726214733568815,0.1544068073016573,0.13224890335731618,0.5850591681571121
2015-09-01,0.2908733599902284,0.34200353993013205,0.1545133498456692,0.13231769043634636,0.6366431101914753
2015-09-02,0.301389492727862,0.3591221016085297,0.15526251129321889,0.13344365777741662,0.6386274576724297
2015-09-03,0.3011858972923832,0.35617782261931175,0.1528165255835742,0.13723174834719332,0.6393751785181296
2015-09-04,0.30419995154646545,0.3574650974337171,0.1487677179473933,0.13827917103500534,0.63764940883078
2015-09-08,0.31610012576724744,0.37148629496969515,0.15148573136915688,0.13428680998440812,0.633481164797244
2015-09-09,0.31756749674670914,0.3709596077732885,0.1401401523365859,0.1418030359550724,0.6381277142692835
2015-09-10,0.31871045985206675,0.3735148553211146,0.14073897679856076,0.13219825183362108,0.6455664354227898
2015-09-11,0.3198016686394496,0.3745470451343504,0.14301735705866478,0.1292379219450815,0.6428478093911079
2015-09-14,0.31891818169072184,0.37433450704271204,0.14281796572008515,0.12927282987385627,0.6461082159206257
2015-09-15,0.3223447186485354,0.37581833078260607,0.15527236580918669,0.12915202503525633,0.6461089448527113
2015-09-16,0.3248855933508452,0.37657231028153876,0.15389522817481666,0.13822295848543995,0.6707380540368687
2015-09-17,0.32418480010627587,0.37612637828180606,0.15644124592332753,0.1345592081538529,0.6474179689562669
